CountryID,Country_Name,Region,RegionID,Income_Tax_Rate,Corporate_Tax_Rate,5_Year_GDP_Growth_Rate_(%),FDI_Inflow_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Inflation_(%),Population_(Millions),Public_Debt_(%_of_GDP),Unemployment_(%)
41,Croatia,Europe,2,40,20,-0.1,1494.1,80.3,0.0,18192,2.3,4.4,45.6,17.7
43,Cyprus,Europe,2,35,10,1.7,276.3,23.7,0.5,29074,3.5,0.8,71.8,5.6
44,Czech Republic,Europe,2,15,19,1.6,5404.5,285,1.7,27062,1.9,10.5,41.5,6.7
45,Denmark,Europe,2,55.4,25,-0.6,14770.8,206.6,1.1,37152,2.8,5.6,46.4,8.0
54,Estonia,Europe,2,21,21,-0.5,257.1,27.3,7.6,20380,5.1,1.3,6,10.1
57,Finland,Europe,2,30.5,24.5,0.7,53.8,195.7,2.9,36236,3.3,5.4,48.6,7.9
58,France,Europe,2,41,34.43,0.5,40945,2217.9,1.7,35156,2.3,63.1,86.3,10.6
61,Georgia,Europe,2,20,15,4.7,974.6,24.5,7.0,5491,8.5,4.5,33.9,16.3
62,Germany,Europe,2,47.5,15.8,1.1,40402.1,3099.1,3.1,37897,2.5,81.8,81.5,5.5
64,Greece,Europe,2,45,20,-2.2,1822.9,294.3,-6.9,26294,3.1,11.2,160.8,24.4
72,Hungary,Europe,2,16,19,-0.6,4697.6,195.6,1.7,19591,3.9,10.0,80.4,10.7
73,Iceland,Europe,2,31.8,20,-0.2,1013.2,12.4,3.1,38061,4,0.3,99.2,6.7
78,Ireland,Europe,2,41,12.5,-1,13102,181.6,0.7,39639,1.1,4.6,105,15.0
80,Italy,Europe,2,43,27.5,-0.6,29059.4,1847,0.4,30464,2.9,60.6,120.1,10.7
92,Latvia,Europe,2,25,15,-1.7,1562.1,34.9,5.5,15662,4.2,2.2,37.8,15.4
98,Lithuania,Europe,2,15,15,0.7,1217.1,61.6,5.9,18856,4.1,3.3,39,15.4
99,Luxembourg,Europe,2,41,21.84,1.1,17530.1,41.2,1.0,80119,3.4,0.5,20.8,5.2
101,Macedonia,Europe,2,10,10,3,421.9,21.3,3.0,10367,3.9,2.1,28.1,31.4
112,Moldova,Europe,2,18,0,3.5,274,12,6.4,3373,7.7,3.6,23.4,6.7
114,Montenegro,Europe,2,9,9,3.2,558.1,7.2,2.5,11545,3.1,0.6,45.8,11.5
119,Netherlands,Europe,2,52,25,1,17129.4,704,1.3,42183,2.5,16.7,66.2,5.3
124,Norway,Europe,2,47.8,28,0.7,3568.8,265.9,1.7,53471,1.3,5.0,49.6,3.0
132,Poland,Europe,2,32,19,4.3,15138.8,771.7,4.4,20334,4.3,37.9,55.4,10.1
133,Portugal,Europe,2,46.5,26.5,-0.1,10344,249,-1.5,23361,3.6,10.7,106.8,15.9
135,Romania,Europe,2,16,16,1.4,2670.4,267.2,2.5,12476,5.8,21.4,33,5.1
136,Russia,Europe,2,13,20,2.8,52878,2383.4,4.3,16736,8.4,142.4,9.6,6.6
144,Serbia,Europe,2,15,10,1.7,2709.3,78.9,1.8,10642,11.2,7.4,47.9,23.4
148,Slovakia,Europe,2,19,19,3.6,2142.9,126.9,3.3,23304,4.1,5.4,44.6,14.4
149,Slovenia,Europe,2,41,18,0.6,999.2,57.9,-0.2,28642,1.8,2.0,47.3,8.4
152,Spain,Europe,2,52,30,0.2,29476.3,1413.5,0.7,30626,3.1,46.2,68.5,25.1
157,Sweden,Europe,2,57,26.3,1.5,12090.6,381.7,4.0,40394,1.4,9.5,37.4,7.8
158,Switzerland,Europe,2,41.5,24,1.7,-196.5,339.9,1.9,43370,0.2,7.8,48.6,4.2
169,Turkey,Europe,2,35,20,3.5,15876,1073.6,8.5,14517,6.5,74.0,39.4,11.7
172,Ukraine,Europe,2,17,21,0.6,7207,329.5,5.2,7233,8,45.6,36.5,8.4
174,United Kingdom,Europe,2,50,24,0.1,53949.3,2260.8,0.7,36090,4.5,62.6,82.5,8.0
3,Algeria,Middle East / North Africa,3,35,25,2.7,2571,263.7,2.5,7333,4.5,36.0,9.9,10.0
50,Egypt,Middle East / North Africa,3,25,25,5.1,-482.7,519,1.8,6540,11.1,79.4,76.4,12.2
76,Iran,Middle East / North Africa,3,35,25,3.7,4150,990.2,2.0,13053,21.3,75.9,12.7,15.3
77,Iraq,Middle East / North Africa,3,15,15,5.1,1616.7,127.6,9.9,3886,6,32.8,86.9,15.0
79,Israel,Middle East / North Africa,3,48,25,4,11374.1,235.2,4.7,30975,3.5,7.6,74.3,6.9
83,Jordan,Middle East / North Africa,3,14,14,5.1,1469,36.9,2.5,5900,4.4,6.3,69.8,12.3
89,Kuwait,Middle East / North Africa,3,0,0,3.1,398.6,153.5,8.2,41691,4.7,3.7,7.3,9999.0
93,Lebanon,Middle East / North Africa,3,20,15,6.7,3200,61.4,1.5,15523,5,4.0,136.2,9999.0
96,Libya,Middle East / North Africa,3,15,20,-14.7,0,37.5,-61.0,5787,14.1,6.5,9999,9999.0
115,Morocco,Middle East / North Africa,3,38,30,4.2,2519.1,162.6,4.3,5052,0.9,32.2,54.4,8.9
125,Oman,Middle East / North Africa,3,0,12,5.7,788,81.8,5.5,26519,4,3.1,5.1,9999.0
142,Saudi Arabia,Middle East / North Africa,3,2.5,2.5,3.5,16400,682.8,6.8,24237,5,28.2,7.5,10.9
159,Syria,Middle East / North Africa,3,22,28,9999,1059.5,106,-3.4,4630,4.8,20.5,9999,9999.0
168,Tunisia,Middle East / North Africa,3,35,30,3.2,1142.9,101,-0.8,9478,3.5,10.7,42.4,18.0
173,U.A.E.,Middle East / North Africa,3,0,0,2.8,7679,258.8,4.9,48158,0.9,5.4,16.9,12.9
181,Yemen,Middle East / North Africa,3,20,20,1.4,-712.8,58,-10.5,2307,17.6,25.1,42.5,9999.0
29,Canada,North America,4,29,15,1.1,40931.5,1396.1,2.5,40541,2.9,34.4,85,7.4
110,Mexico,North America,4,30,30,1.4,19554.4,1661.6,4.0,14610,3.4,113.7,43.8,5.3
175,United States,North America,4,35,35,0.5,226937,15094,1.7,48387,3.1,311.9,102.9,7.9
5,Argentina,South and Central America / Caribbean,5,35,35,6.8,7243.1,716.4,8.9,17516,9.8,40.9,44.2,7.2
19,Bolivia,South and Central America / Caribbean,5,13,25,4.8,858.9,50.9,5.1,4789,9.9,10.6,32.9,5.8
22,Brazil,South and Central America / Caribbean,5,27.5,34,4.2,66660.1,2294.2,2.7,11769,6.6,194.9,66.2,6.0
33,Chile,South and Central America / Caribbean,5,40,18.5,3.9,17299,299.6,5.9,17222,3.3,17.4,9.9,6.1
35,Colombia,South and Central America / Caribbean,5,33,33,4.4,13234.2,472,5.9,10249,3.4,46.1,34.7,10.9
39,Costa Rica,South and Central America / Caribbean,5,25,30,3.7,2104.1,55,4.2,11927,4.9,4.6,30.8,7.7
42,Cuba,South and Central America / Caribbean,5,50,30,0,110,120.3,2.7,10704,4.7,11.2,35.4,9999.0
48,Dominican Republic,South and Central America / Caribbean,5,25,29,5.9,2371.1,93.4,4.5,9287,8.5,10.1,29.3,14.6
49,Ecuador,South and Central America / Caribbean,5,35,23,4.2,567.8,127.4,7.8,8492,4.5,15.0,18,4.9
51,El Salvador,South and Central America / Caribbean,5,25,25,0.9,385.5,44.6,1.4,7550,3.6,5.9,50.8,7.0
65,Guatemala,South and Central America / Caribbean,5,31,31,3.3,984.6,74.7,3.8,5070,6.2,14.7,24.1,4.1
69,Haiti,South and Central America / Caribbean,5,30,30,1.4,181,12.4,5.6,1235,7.4,10.0,10.6,40.6
70,Honduras,South and Central America / Caribbean,5,25,25,2.9,1014.4,35.7,3.6,4345,6.8,8.2,28.1,5.1
81,Jamaica,South and Central America / Caribbean,5,25,33.3,-0.5,242.2,24.8,1.5,9029,7.5,2.7,139,12.6
121,Nicaragua,South and Central America / Caribbean,5,30,30,2.8,967.9,18.9,4.7,3206,8.1,5.9,72,8.0
127,Panama,South and Central America / Caribbean,5,25,25,8.8,2789.8,50.6,10.6,14097,5.9,3.6,37.8,4.5
129,Paraguay,South and Central America / Caribbean,5,10,10,5.3,303,35.3,3.8,5413,6.6,6.5,13.7,6.6
130,Peru,South and Central America / Caribbean,5,30,30,7,8232.6,302,6.9,10062,3.4,30.0,21.6,7.9
176,Uruguay,South and Central America / Caribbean,5,25,25,6.1,2191.2,50.9,5.7,15113,8.1,3.4,54.2,6.0
179,Venezuela,South and Central America / Caribbean,5,34,34,2.6,5302,374.1,4.2,12568,26.1,29.8,45.5,8.2
4,Angola,Sub-Saharan Africa,6,17,35,8.8,-5585.5,115.7,3.4,5895,13.5,19.6,30.9,9999.0
21,Botswana,Sub-Saharan Africa,6,25,22,2.8,587.1,29.7,4.6,16030,8.5,1.9,17.3,7.5
24,Burkina Faso,Sub-Saharan Africa,6,30,30,5.1,7.4,22,5.6,1466,2.8,15.0,29.4,9999.0
26,Burundi,Sub-Saharan Africa,6,35,35,4.3,1.7,5.2,4.2,615,14.9,8.4,35.3,9999.0
28,Cameroon,Sub-Saharan Africa,6,38.5,38.5,3,360,47.3,4.1,2257,2.9,20.9,12.9,9999.0
31,Central African Republic,Sub-Saharan Africa,6,50,30,2.8,109.2,3.6,3.1,768,0.7,4.7,40.9,9999.0
32,Chad,Sub-Saharan Africa,6,60,40,2.9,1855,19.5,1.6,1865,1.9,10.5,32.2,9999.0
40,Cote d'Ivoire,Sub-Saharan Africa,6,36,25,1,344.2,36.1,-4.7,1590,4.9,22.7,90.5,9999.0
37,Dem. Rep. of Congo,Sub-Saharan Africa,6,30,40,5.8,1686.9,25.3,6.9,348,15.5,72.6,32,9999.0
53,Eritrea,Sub-Saharan Africa,6,30,30,1.1,18.5,4,8.7,735,13.3,5.5,133.8,9999.0
55,Ethiopia,Sub-Saharan Africa,6,35,35,9.7,206.1,94.9,7.5,1093,18.1,86.8,37.3,9999.0
60,Gambia,Sub-Saharan Africa,6,35,33,5.2,36,3.5,3.3,1943,4.8,1.8,68.8,9999.0
63,Ghana,Sub-Saharan Africa,6,25,25,8,3222.3,74.9,13.6,3083,8.7,24.3,43.4,9999.0
66,Guinea,Sub-Saharan Africa,6,40,35,2.4,1210.8,11.5,3.6,1083,21.5,10.6,72.2,9999.0
85,Kenya,Sub-Saharan Africa,6,30,30,4.3,335.2,71.4,5.0,1746,14,40.9,48.9,40.0
95,Liberia,Sub-Saharan Africa,6,35,25,5.7,508,1.8,6.4,456,8.5,3.9,13.9,9999.0
102,Madagascar,Sub-Saharan Africa,6,21,21,2,907.4,20.4,0.5,934,10.6,21.9,5.7,9999.0
103,Malawi,Sub-Saharan Africa,6,30,30,7.8,56.3,13.9,5.5,860,7.6,16.2,42.5,9999.0
106,Mali,Sub-Saharan Africa,6,40,35,4.4,177.8,17.9,2.7,1128,3.1,15.9,30.6,9999.0
116,Mozambique,Sub-Saharan Africa,6,32,32,6.9,2093.5,23.9,7.1,1085,10.4,22.0,33.2,9999.0
117,Namibia,Sub-Saharan Africa,6,37,34,3.7,899.7,15.7,3.6,7363,5.8,2.1,21.9,51.2
122,Niger,Sub-Saharan Africa,6,35,30,4.3,1013.6,11.6,2.3,771,2.9,15.1,18.9,9999.0
123,Nigeria,Sub-Saharan Africa,6,24,30,7,8915,413.4,7.2,2578,10.8,160.3,17.9,21.0
137,Rwanda,Sub-Saharan Africa,6,30,30,7.4,106,13.7,8.8,1341,5.7,10.2,23.4,9999.0
143,Senegal,Sub-Saharan Africa,6,50,25,3.5,286.1,25.2,2.6,1871,3.4,13.4,40.6,48.0
151,South Africa,Sub-Saharan Africa,6,40,28,2.7,5807.4,555.1,3.1,10973,5,50.6,38.8,24.9
162,Tanzania,Sub-Saharan Africa,6,30,30,6.8,1095.4,63.9,6.7,1515,7,42.2,44.4,9999.0
165,Togo,Sub-Saharan Africa,6,45,30,3.2,53.8,6.4,4.1,899,3.6,7.1,30.8,9999.0
171,Uganda,Sub-Saharan Africa,6,30,30,7.4,792.3,46.4,6.7,1317,6.5,35.2,29.2,9999.0
182,Zambia,Sub-Saharan Africa,6,35,35,6.5,1981.7,21.9,6.6,1611,8.7,13.6,26.1,14.0
183,Zimbabwe,Sub-Saharan Africa,6,45,25,-0.1,387,6.1,9.3,487,3.5,12.6,70.3,95.0
